iter	Passed	Remaining
530	96218	322539
531	96361	322230
532	96513	321954
533	96673	321701
534	96853	321518
535	97072	321460
536	97268	321329
537	97522	321390
538	97737	321320
539	97951	321243
540	98204	321298
541	98451	321330
542	98716	321419
543	98940	321375
544	99123	321197
545	99334	321107
546	99581	321137
547	99831	321174
548	100060	321140
549	100264	321027
550	100502	321025
551	100751	321055
552	101102	321406
553	101458	321774
554	101637	321577
555	101782	321275
556	101949	321040
557	102082	320699
558	102197	320303
559	102353	320036
560	102497	319734
561	102662	319496
562	102810	319204
563	102955	318907
564	103100	318607
565	103260	318355
566	103405	318057
567	103562	317797
568	103718	317535
569	103856	317218
570	104004	316931
571	104180	316731
572	104343	316489
573	104492	316208
574	104638	315918
575	104785	315628
576	104953	315406
577	105109	315146
578	105267	314894
579	105414	314608
580	105541	314263
581	105748	314158
582	105897	313878
583	106074	313681
584	106213	313375
585	106336	313022
586	106503	312796
587	106681	312605
588	106839	312355
589	106985	312070
590	107108	311720
591	107246	311412
592	107414	311193
593	107606	311044
594	107831	310989
595	108055	310930
596	108269	310843
597	108502	310810
598	108707	310697
599	108894	310529
600	109125	310490
601	109297	310280
602	109436	309979
603	109609	309773
604	109761	309508
605	109921	309268
606	110085	309037
607	110220	308725
608	110334	308358
609	110489	308101
610	110625	307795
611	110756	307477
612	110901	307195
613	111029	306869
614	111160	306549
615	111314	306296
616	111466	306037
617	111631	305812
618	111765	305504
619	112009	305496
620	112209	305369
621	112416	305259
622	112593	305070
623	112752	304829
624	112940	304667
625	113122	304491
626	113263	304204
627	113416	303948
628	113542	303623
629	113694	303365
630	113830	303066
631	113959	302750
632	114110	302492
633	114290	302309
634	114442	302056
635	114571	301740
636	114714	301462
637	114855	301181
638	114995	300894
639	115156	300666
640	115319	300441
641	115494	300249
642	115645	299995
643	115792	299730
644	115905	299377
645	116086	299200
646	116249	298979
647	116416	298766
648	116541	298445
649	116707	298232
650	116834	297920
651	117002	297709
652	117245	297693
653	117401	297453
654	117538	297166
655	117693	296925
656	117841	296667
657	117990	296409
658	118140	296156
659	118294	295914
660	118398	295548
661	118531	295254
662	118700	295051
663	118879	294870
664	119024	294608
665	119182	294377
666	119345	294159
667	119476	293862
668	119645	293658
669	119752	293305
670	119875	292988
671	120032	292758
672	120180	292505
673	120328	292252
674	120476	291999
675	120621	291741
676	120796	291553
677	120918	291238
678	121032	290905
679	121189	290677
680	121299	290334
681	121443	290076
682	121636	289932
683	121940	290054
684	122309	290328
685	122587	290384
686	122821	290338
687	123035	290242
688	123259	290169
689	123494	290122
690	123792	290221
691	124007	290126
692	124199	289977
693	124452	289970
694	124685	289916
695	124908	289837
696	125128	289752
697	125300	289556
698	125531	289494
699	125732	289365
700	125951	289274
701	126151	289143
702	126351	289008
703	126463	288674
704	126601	288399
705	126742	288133
706	126890	287881
707	127025	287602
708	127128	287250
709	127266	286977
710	127427	286757
711	127589	286538
712	127729	286272
713	127893	286058
714	128025	285773
715	128194	285573
716	128352	285346
717	128526	285156
718	128660	284878
719	128787	284585
720	128914	284292
721	129077	284078
722	129210	283799
723	129341	283514
724	129486	283262
725	129632	283012
726	129786	282781
727	129900	282461
728	130006	282125
729	130155	281885
730	130311	281658
731	130447	281388
732	130592	281139
733	130726	280866
734	130893	280663
735	131000	280333
736	131120	280032
737	131298	279854
738	131413	279541
739	131549	279275
740	131692	279024
741	131806	278711
742	131955	278473
743	132095	278217
744	132229	277948
745	132381	277716
746	132525	277470
747	132665	277213
748	132787	276921
749	132921	276654
750	133073	276424
751	133196	276134
752	133306	275819
753	133422	275515
754	133576	275291
755	133726	275059
756	133835	274742
757	133999	274540
758	134218	274449
759	134507	274500
760	134800	274561
761	135100	274633
762	135313	274527
763	135537	274445
764	135760	274360
765	135983	274273
766	136204	274184
767	136472	274188
768	136688	274088
769	136910	273998
770	137071	273787
771	137348	273807
772	137608	273792
773	137832	273705
774	138017	273542
775	138207	273386
776	138452	273341
777	138665	273232
778	138965	273292
779	139235	273293
780	139405	273098
781	139566	272885
782	139737	272692
783	139938	272558
784	140086	272321
785	140220	272055
786	140388	271857
787	140609	271762
788	140738	271488
789	140905	271288
790	141076	271095
791	141273	270952
792	141410	270694
793	141572	270485
794	141780	270364
795	141975	270216
796	142113	269962
797	142262	269729
798	142411	269494
799	142579	269296
800	142718	269045
801	142943	268955
802	143079	268696
803	143337	268669
